zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
97338,19.0,9.0,133.0,20.0,5834.0,3864.0
97339,3.0,1.0,113.0,1.0,3124.0,250.0
97341,3.0,1.0,36.0,4.0,736.0,325.0
97342,2.0,0.0,61.0,0.0,2133.0,0.0
97344,2.0,0.0,3.0,0.0,250.0,0.0
97345,1.0,0.0,1.0,0.0,27.0,0.0
97347,2.0,1.0,36.0,1.0,1854.0,2700.0
97348,1.0,0.0,35.0,0.0,527.0,0.0
97351,5.0,2.0,38.0,4.0,2368.0,225.0
97352,3.0,0.0,57.0,0.0,1542.0,0.0
97355,21.0,7.0,305.0,35.0,11200.0,1326.0
97357,1.0,0.0,9.0,0.0,188.0,0.0
97358,2.0,1.0,13.0,2.0,607.0,100.0
97360,1.0,1.0,1.0,5.0,20.0,250.0
97361,21.0,5.0,214.0,15.0,13762.0,870.0
97362,0.0,1.0,0.0,1.0,0.0,250.0
97364,3.0,0.0,19.0,0.0,617.0,0.0
97365,34.0,4.0,258.0,6.0,9956.0,915.0
97366,4.0,3.0,41.0,9.0,2378.0,1398.0
97367,14.0,2.0,228.0,13.0,9345.0,1565.0
97368,2.0,0.0,11.0,0.0,263.0,0.0
97369,2.0,0.0,38.0,0.0,1081.0,0.0
97370,24.0,7.0,295.0,26.0,14603.0,2324.0
97374,6.0,0.0,102.0,0.0,2259.0,0.0
97375,6.0,2.0,66.0,5.0,3704.0,142.0
97376,4.0,2.0,69.0,7.0,2369.0,222.0
97377,5.0,0.0,71.0,0.0,2834.0,0.0
97378,6.0,1.0,18.0,3.0,660.0,75.0
97380,1.0,0.0,2.0,0.0,50.0,0.0
97381,25.0,5.0,135.0,25.0,7216.0,1927.0
97383,3.0,1.0,24.0,1.0,1264.0,415.0
97385,3.0,1.0,22.0,1.0,1165.0,100.0
97386,10.0,0.0,82.0,0.0,2489.0,0.0
97388,3.0,2.0,36.0,8.0,1440.0,245.0
97389,1.0,1.0,3.0,1.0,550.0,250.0
97390,3.0,0.0,30.0,0.0,1313.0,0.0
97391,5.0,1.0,204.0,9.0,4275.0,345.0
97392,2.0,0.0,15.0,0.0,597.0,0.0
97394,18.0,2.0,108.0,10.0,9660.0,282.0
97396,2.0,0.0,7.0,0.0,250.0,0.0
97401,124.0,36.0,1320.0,118.0,70805.0,9656.0
97402,130.0,16.0,1445.0,80.0,70586.0,6151.0
97403,62.0,16.0,541.0,32.0,55009.0,7226.0
97404,74.0,6.0,1036.0,19.0,40361.0,1007.0
97405,267.0,55.0,3053.0,214.0,163633.0,27754.0
97408,15.0,7.0,129.0,40.0,6486.0,878.0
97410,4.0,0.0,94.0,0.0,6796.0,0.0
97411,27.0,7.0,364.0,11.0,16662.0,2380.0
97412,6.0,0.0,72.0,0.0,2394.0,0.0
97413,1.0,0.0,23.0,0.0,706.0,0.0
97415,18.0,7.0,128.0,47.0,7626.0,2255.0
97416,1.0,0.0,18.0,0.0,508.0,0.0
97417,1.0,0.0,5.0,0.0,100.0,0.0
97419,5.0,0.0,27.0,0.0,1059.0,0.0
97420,37.0,9.0,360.0,38.0,16365.0,3005.0
97423,11.0,0.0,102.0,0.0,3558.0,0.0
97424,39.0,3.0,398.0,5.0,14383.0,190.0
97426,8.0,4.0,23.0,10.0,2619.0,1635.0
97429,2.0,0.0,2.0,0.0,150.0,0.0
97430,2.0,1.0,4.0,6.0,700.0,145.0
97431,5.0,0.0,123.0,0.0,1703.0,0.0
97432,3.0,0.0,26.0,0.0,4027.0,0.0
97434,1.0,0.0,4.0,0.0,20.0,0.0
