,zip,CAND,TRANSACTION_AMT
222,01004,H.C.,750
223,01005,B.S.,5103
224,01005,H.C.,566
225,01007,B.S.,23164
226,01007,H.C.,2932
227,01008,B.S.,943
228,01009,B.S.,34
229,01010,B.S.,501
230,01011,B.S.,2130
231,01012,B.S.,5203
232,01013,B.S.,3376
233,01020,B.S.,5767
234,01020,H.C.,933
235,01024,B.S.,54
236,01026,B.S.,1962
237,01027,B.S.,19918
238,01027,H.C.,9090
239,01028,B.S.,5893
240,01028,H.C.,2569
241,01029,B.S.,104
242,01030,B.S.,3052
243,01030,H.C.,390
244,01031,B.S.,50
245,01032,B.S.,2229
246,01033,B.S.,2858
247,01033,H.C.,1350
248,01034,B.S.,288
249,01034,H.C.,50
250,01035,B.S.,6563
251,01035,H.C.,420
252,01036,B.S.,4371
253,01036,H.C.,2050
254,01037,B.S.,1409
255,01037,H.C.,400
256,01038,B.S.,11914
257,01038,H.C.,410
258,01039,B.S.,11952
259,01039,H.C.,748
260,01040,B.S.,29011
261,01040,H.C.,8569
262,01050,B.S.,3203
263,01050,H.C.,1231
264,01051,B.S.,700
265,01053,B.S.,12085
266,01053,H.C.,1096
267,01054,B.S.,26553
268,01054,H.C.,2661
269,01056,B.S.,8710
270,01056,H.C.,352
271,01057,B.S.,7500
272,01057,H.C.,38
273,01059,B.S.,150
274,01059,H.C.,100
275,01060,B.S.,92671
276,01060,H.C.,32279
277,01061,B.S.,3829
278,01061,H.C.,2872
279,01062,B.S.,43832
280,01062,H.C.,20203
281,01063,B.S.,1650
282,01066,B.S.,500
283,01068,B.S.,244
284,01069,B.S.,2702
285,01070,B.S.,8045
286,01071,B.S.,1563
287,01072,B.S.,32459
288,01072,H.C.,3023
289,01073,B.S.,13189
290,01073,H.C.,2550
291,01075,B.S.,19052
292,01075,H.C.,5857
293,01076,B.S.,200
294,01077,B.S.,3093
295,01077,H.C.,138
296,01080,B.S.,411
297,01081,B.S.,2919
298,01082,B.S.,1555
299,01083,B.S.,35
300,01084,B.S.,240
301,01085,B.S.,9496
302,01085,H.C.,703
303,01088,B.S.,892
304,01089,B.S.,10549
305,01089,H.C.,4780
306,01090,B.S.,250
307,01093,B.S.,3547
308,01093,H.C.,1800
309,01095,B.S.,10017
310,01095,H.C.,15128
311,01096,B.S.,20078
312,01096,H.C.,935
313,01097,B.S.,254
314,01098,B.S.,5724
315,01098,H.C.,1477
316,01099,B.S.,190
317,01103,B.S.,50
318,01104,B.S.,1167
319,01104,H.C.,200
320,01105,B.S.,999
321,01105,H.C.,842
322,01106,B.S.,15163
323,01106,H.C.,35560
324,01107,H.C.,500
325,01108,B.S.,15096
326,01108,H.C.,4271
327,01109,B.S.,6580
328,01109,H.C.,1350
329,01110,B.S.,1735
330,01118,B.S.,5379
331,01118,H.C.,160
332,01119,B.S.,801
333,01119,H.C.,135
334,01123,B.S.,25
335,01128,B.S.,875
336,01129,B.S.,2048
337,01151,B.S.,27
338,01170,B.S.,11550
339,01178,B.S.,1375
340,01180,B.S.,1199
341,01190,B.S.,2000
342,01200,B.S.,823
343,01201,B.S.,25716
344,01201,H.C.,10450
345,01202,B.S.,515
346,01202,H.C.,129
347,01205,B.S.,77
348,01210,B.S.,960
349,01211,B.S.,938
350,01213,B.S.,1484
351,01220,B.S.,2160
352,01222,B.S.,2119
353,01223,B.S.,10103
354,01223,H.C.,1300
355,01224,B.S.,99
356,01225,B.S.,423
357,01226,B.S.,3764
358,01226,H.C.,771
359,01227,B.S.,1730
360,01227,H.C.,1800
361,01229,B.S.,35
362,01229,H.C.,201
363,01230,B.S.,44475
364,01230,H.C.,17651
365,01231,B.S.,1165
366,01234,B.S.,1150
367,01235,B.S.,778
368,01235,H.C.,2184
369,01236,B.S.,8951
370,01236,H.C.,750
371,01237,B.S.,7747
372,01238,B.S.,4698
373,01238,H.C.,248
374,01240,B.S.,23452
375,01240,H.C.,11552
376,01243,B.S.,7394
377,01244,B.S.,1085
378,01245,B.S.,2191
379,01245,H.C.,1000
380,01247,B.S.,4975
381,01247,H.C.,75
382,01253,B.S.,665
383,01254,B.S.,3440
384,01254,H.C.,4108
385,01255,B.S.,30
386,01255,H.C.,250
387,01256,B.S.,902
388,01257,B.S.,9612
389,01257,H.C.,7456
390,01258,B.S.,360
391,01259,B.S.,597
392,01259,H.C.,400
393,01260,B.S.,1141
394,01262,B.S.,3274
395,01262,H.C.,2190
396,01264,B.S.,450
397,01264,H.C.,1444
398,01266,B.S.,8469
399,01266,H.C.,4131
400,01267,B.S.,44817
401,01267,H.C.,11586
