,zip,CAND,TRANSACTION_AMT
7443,16933,B.S.,1000
7444,16933,H.C.,20
7445,16936,B.S.,65
7446,16943,B.S.,635
7447,16946,H.C.,25
7448,16947,B.S.,75
7449,16950,B.S.,355
7450,17003,B.S.,1059
7451,17003,H.C.,600
7452,17004,B.S.,40
7453,17005,B.S.,1010
7454,17007,B.S.,1981
7455,17007,H.C.,100
7456,17011,B.S.,7790
7457,17011,H.C.,2625
7458,17013,B.S.,8300
7459,17013,H.C.,4827
7460,17015,B.S.,5275
7461,17015,H.C.,117
7462,17016,B.S.,82
7463,17016,H.C.,100
7464,17017,B.S.,149
7465,17018,B.S.,3338
7466,17018,H.C.,231
7467,17019,B.S.,1809
7468,17019,H.C.,595
7469,17020,B.S.,482
7470,17020,H.C.,373
7471,17022,B.S.,10866
7472,17022,H.C.,100
7473,17023,B.S.,750
7474,17024,B.S.,320
7475,17025,B.S.,1452
7476,17025,H.C.,550
7477,17026,B.S.,369
7478,17027,B.S.,840
7479,17028,B.S.,382
7480,17028,H.C.,80
7481,17032,B.S.,175
7482,17032,H.C.,163
7483,17033,B.S.,24746
7484,17033,H.C.,6301
7485,17034,B.S.,323
7486,17035,H.C.,506
7487,17036,B.S.,6911
7488,17036,H.C.,4337
7489,17038,B.S.,5300
7490,17042,B.S.,5311
7491,17042,H.C.,2452
7492,17043,B.S.,5500
7493,17043,H.C.,3600
7494,17044,B.S.,1714
7495,17044,H.C.,10
7496,17045,B.S.,2022
7497,17046,B.S.,1675
7498,17047,H.C.,75
7499,17050,B.S.,4604
7500,17050,H.C.,2436
7501,17051,B.S.,803
7502,17053,B.S.,2105
7503,17055,B.S.,20745
7504,17055,H.C.,8816
7505,17057,B.S.,1922
7506,17057,H.C.,3551
7507,17059,B.S.,667
7508,17061,B.S.,469
7509,17061,H.C.,100
7510,17063,B.S.,30
7511,17063,H.C.,250
7512,17064,B.S.,405
7513,17065,B.S.,68
7514,17067,B.S.,370
7515,17067,H.C.,200
7516,17068,B.S.,100
7517,17070,B.S.,2619
7518,17070,H.C.,164
7519,17073,B.S.,1156
7520,17074,B.S.,451
7521,17078,B.S.,5347
7522,17081,B.S.,55
7523,17084,B.S.,655
7524,17084,H.C.,236
7525,17086,B.S.,1600
7526,17090,B.S.,5078
7527,17090,H.C.,150
7528,17094,B.S.,1009
7529,17098,B.S.,786
7530,17101,B.S.,120
7531,17101,H.C.,2190
7532,17102,B.S.,2737
7533,17102,H.C.,2400
7534,17103,B.S.,473
7535,17104,B.S.,1059
7536,17104,H.C.,1145
7537,17109,B.S.,10516
7538,17109,H.C.,235
7539,17110,B.S.,18741
7540,17110,H.C.,6462
7541,17111,B.S.,10381
7542,17111,H.C.,2365
7543,17112,B.S.,13270
7544,17112,H.C.,4111
7545,17113,B.S.,2672
7546,17113,H.C.,113
7547,17156,B.S.,1500
7548,17201,B.S.,9883
7549,17201,H.C.,175
7550,17202,B.S.,545
7551,17202,H.C.,3092
7552,17214,B.S.,515
7553,17219,B.S.,242
7554,17222,B.S.,1540
7555,17222,H.C.,2108
7556,17223,H.C.,75
7557,17225,B.S.,5369
7558,17229,H.C.,100
7559,17233,B.S.,294
7560,17236,B.S.,2300
7561,17236,H.C.,23
7562,17237,B.S.,189
7563,17238,B.S.,180
7564,17240,B.S.,508
7565,17241,B.S.,2089
7566,17244,B.S.,83
7567,17252,B.S.,692
7568,17257,B.S.,10818
7569,17257,H.C.,424
7570,17262,B.S.,69
7571,17263,H.C.,250
7572,17267,B.S.,915
7573,17268,B.S.,979
7574,17268,H.C.,248
7575,17301,B.S.,35
7576,17302,H.C.,500
7577,17307,B.S.,130
7578,17307,H.C.,164
7579,17309,B.S.,739
7580,17310,H.C.,97
7581,17313,B.S.,661
7582,17315,B.S.,2336
7583,17315,H.C.,400
7584,17316,B.S.,2355
7585,17316,H.C.,631
7586,17320,B.S.,4072
7587,17320,H.C.,2735
7588,17321,B.S.,100
7589,17322,B.S.,175
7590,17324,B.S.,1198
7591,17325,B.S.,9606
7592,17325,H.C.,1652
7593,17327,B.S.,3477
7594,17327,H.C.,100
7595,17331,B.S.,5707
7596,17331,H.C.,2282
7597,17339,B.S.,2042
7598,17340,B.S.,455
7599,17340,H.C.,25
7600,17344,H.C.,450
7601,17345,B.S.,130
7602,17347,B.S.,27
7603,17347,H.C.,8192
7604,17349,B.S.,2574
7605,17349,H.C.,216
7606,17350,H.C.,50
7607,17353,B.S.,2606
7608,17353,H.C.,450
7609,17356,B.S.,792
7610,17356,H.C.,708
7611,17360,B.S.,25
7612,17360,H.C.,100
7613,17362,B.S.,61
7614,17362,H.C.,712
7615,17363,B.S.,1020
7616,17363,H.C.,200
7617,17364,B.S.,983
7618,17365,B.S.,500
7619,17365,H.C.,850
7620,17366,B.S.,396
7621,17366,H.C.,191
7622,17368,B.S.,452
7623,17370,H.C.,130
7624,17372,B.S.,818
7625,17372,H.C.,1010
7626,17401,B.S.,608
7627,17402,B.S.,3112
7628,17402,H.C.,4372
7629,17403,B.S.,9241
7630,17403,H.C.,4208
7631,17404,B.S.,3237
7632,17404,H.C.,1169
7633,17406,B.S.,5947
7634,17406,H.C.,209
7635,17408,B.S.,2024
7636,17408,H.C.,450
7637,17501,B.S.,1191
7638,17502,B.S.,800
7639,17504,B.S.,592
7640,17508,B.S.,27
7641,17509,B.S.,1090
7642,17512,B.S.,430
7643,17512,H.C.,11
7644,17516,B.S.,245
7645,17517,B.S.,5263
7646,17517,H.C.,166
7647,17518,B.S.,577
7648,17520,B.S.,248
7649,17522,B.S.,3118
7650,17522,H.C.,249
7651,17527,B.S.,2938
7652,17532,H.C.,100
7653,17536,B.S.,108
7654,17538,B.S.,1330
7655,17540,B.S.,266
7656,17543,B.S.,6953
7657,17543,H.C.,2071
7658,17545,B.S.,762
7659,17545,H.C.,75
7660,17547,B.S.,1698
7661,17551,B.S.,1148
7662,17551,H.C.,2903
7663,17552,B.S.,3258
7664,17552,H.C.,604
7665,17554,B.S.,595
7666,17554,H.C.,975
7667,17555,B.S.,650
7668,17557,B.S.,1439
7669,17566,H.C.,10
7670,17567,B.S.,1000
7671,17569,B.S.,930
7672,17578,B.S.,496
7673,17579,B.S.,38
7674,17579,H.C.,2987
7675,17584,B.S.,75
7676,17601,B.S.,19076
7677,17601,H.C.,8879
7678,17602,B.S.,11328
7679,17602,H.C.,3789
7680,17603,B.S.,26767
7681,17603,H.C.,6942
7682,17604,B.S.,224
7683,17604,H.C.,2700
7684,17672,B.S.,5
7685,17701,B.S.,1785
7686,17701,H.C.,862
7687,17702,B.S.,844
7688,17703,B.S.,49
7689,17721,B.S.,66
7690,17728,B.S.,792
7691,17728,H.C.,20
7692,17731,B.S.,15
7693,17731,H.C.,200
7694,17737,B.S.,387
7695,17737,H.C.,250
7696,17739,B.S.,210
7697,17740,B.S.,135
7698,17740,H.C.,500
7699,17744,B.S.,776
7700,17745,B.S.,1190
7701,17745,H.C.,2311
7702,17751,B.S.,77
7703,17751,H.C.,700
7704,17752,B.S.,803
7705,17754,B.S.,121
7706,17754,H.C.,2941
7707,17756,B.S.,2220
7708,17756,H.C.,1000
7709,17771,H.C.,53
7710,17774,B.S.,565
7711,17776,H.C.,500
7712,17777,B.S.,832
7713,17801,B.S.,5768
7714,17801,H.C.,95
7715,17814,B.S.,1656
7716,17814,H.C.,300
7717,17815,B.S.,8974
7718,17815,H.C.,509
7719,17820,B.S.,236
7720,17820,H.C.,2700
7721,17821,B.S.,6158
7722,17821,H.C.,21574
7723,17824,H.C.,986
7724,17827,H.C.,48
7725,17830,B.S.,100
7726,17834,B.S.,860
7727,17834,H.C.,636
7728,17837,B.S.,15567
7729,17837,H.C.,17703
7730,17842,B.S.,3642
7731,17844,B.S.,2750
7732,17844,H.C.,200
7733,17846,B.S.,130
7734,17846,H.C.,2560
7735,17847,B.S.,477
7736,17847,H.C.,1555
7737,17851,B.S.,233
7738,17853,B.S.,123
7739,17855,B.S.,980
7740,17856,H.C.,168
7741,17857,B.S.,508
7742,17860,B.S.,27
7743,17864,B.S.,1675
7744,17866,B.S.,1056
7745,17866,H.C.,100
7746,17870,B.S.,1235
7747,17870,H.C.,2250
7748,17872,B.S.,2896
7749,17872,H.C.,38
7750,17878,B.S.,50
7751,17889,B.S.,3062
7752,17889,H.C.,1000
7753,17901,B.S.,2819
7754,17901,H.C.,2100
7755,17921,B.S.,55
7756,17922,B.S.,170
7757,17931,B.S.,206
7758,17932,B.S.,23
7759,17946,B.S.,44
7760,17953,B.S.,100
7761,17960,H.C.,123
7762,17961,B.S.,77
7763,17961,H.C.,250
7764,17967,B.S.,247
7765,17970,B.S.,3993
7766,17972,B.S.,10
7767,17976,B.S.,10
7768,17978,B.S.,160
7769,17983,B.S.,168
7770,17985,B.S.,200
7771,17996,B.S.,27
7772,18011,B.S.,649
7773,18011,H.C.,180
7774,18013,B.S.,2658
7775,18013,H.C.,525
7776,18014,B.S.,4967
7777,18014,H.C.,2646
7778,18015,B.S.,15065
7779,18015,H.C.,15660
7780,18016,B.S.,70
7781,18017,B.S.,11689
7782,18017,H.C.,28473
7783,18018,B.S.,15085
7784,18018,H.C.,9977
7785,18020,B.S.,5020
7786,18020,H.C.,8567
7787,18031,B.S.,2214
7788,18031,H.C.,153
7789,18032,B.S.,1495
7790,18034,B.S.,1079
7791,18034,H.C.,5875
7792,18036,B.S.,3466
7793,18036,H.C.,1119
7794,18037,B.S.,331
7795,18037,H.C.,66
7796,18038,B.S.,100
7797,18039,B.S.,800
7798,18040,B.S.,1557
7799,18040,H.C.,488
7800,18041,B.S.,1271
7801,18042,B.S.,10908
7802,18042,H.C.,1362
7803,18044,B.S.,495
7804,18045,B.S.,14883
7805,18045,H.C.,50
7806,18049,B.S.,8368
7807,18049,H.C.,596
7808,18051,B.S.,35
7809,18051,H.C.,100
7810,18052,B.S.,4486
7811,18052,H.C.,245
7812,18054,B.S.,829
7813,18055,B.S.,5051
7814,18055,H.C.,1833
7815,18058,B.S.,228
7816,18058,H.C.,500
7817,18059,B.S.,733
7818,18062,B.S.,4269
7819,18062,H.C.,5910
7820,18063,B.S.,1089
7821,18064,B.S.,4770
7822,18064,H.C.,3800
7823,18066,B.S.,1527
7824,18066,H.C.,75
7825,18067,B.S.,1642
7826,18067,H.C.,137
7827,18069,B.S.,8344
7828,18069,H.C.,100
7829,18071,B.S.,409
7830,18071,H.C.,27
7831,18072,B.S.,15142
7832,18073,B.S.,295
7833,18074,B.S.,5225
7834,18076,B.S.,160
7835,18077,B.S.,821
7836,18077,H.C.,250
7837,18078,B.S.,1628
7838,18078,H.C.,201
7839,18080,B.S.,5939
7840,18081,B.S.,1695
7841,18088,B.S.,555
7842,18088,H.C.,65
7843,18091,B.S.,72
7844,18091,H.C.,8
7845,18092,B.S.,756
7846,18092,H.C.,118
7847,18102,B.S.,2619
7848,18102,H.C.,775
7849,18103,B.S.,7737
7850,18103,H.C.,7210
7851,18104,B.S.,7837
7852,18104,H.C.,10622
7853,18106,B.S.,776
7854,18109,B.S.,1600
7855,18201,B.S.,4060
7856,18201,H.C.,1332
7857,18202,H.C.,55
7858,18210,B.S.,237
7859,18210,H.C.,318
7860,18211,H.C.,75
7861,18214,B.S.,1424
7862,18218,B.S.,502
7863,18219,H.C.,700
7864,18222,B.S.,400
7865,18222,H.C.,1590
7866,18229,B.S.,1725
7867,18229,H.C.,1155
7868,18232,B.S.,71
7869,18235,B.S.,5918
7870,18235,H.C.,1000
7871,18237,B.S.,480
7872,18240,B.S.,331
7873,18248,B.S.,104
7874,18249,B.S.,325
7875,18249,H.C.,300
7876,18252,B.S.,494
7877,18252,H.C.,25
7878,18255,B.S.,507
7879,18301,B.S.,10332
7880,18301,H.C.,945
7881,18302,B.S.,1031
7882,18302,H.C.,1110
7883,18321,B.S.,277
7884,18321,H.C.,400
7885,18322,B.S.,441
7886,18323,B.S.,7725
7887,18323,H.C.,2700
7888,18324,B.S.,102
7889,18324,H.C.,245
7890,18326,B.S.,538
7891,18328,B.S.,2602
7892,18328,H.C.,525
7893,18330,B.S.,332
7894,18330,H.C.,175
7895,18332,B.S.,80
7896,18333,B.S.,147
7897,18333,H.C.,274
7898,18334,B.S.,271
7899,18334,H.C.,544
7900,18337,B.S.,5333
7901,18337,H.C.,1912
7902,18340,H.C.,130
7903,18342,H.C.,75
7904,18343,B.S.,989
7905,18343,H.C.,3450
7906,18344,B.S.,818
7907,18346,H.C.,45
7908,18347,H.C.,515
7909,18349,B.S.,4201
7910,18350,H.C.,258
7911,18352,B.S.,300
7912,18353,B.S.,4363
7913,18353,H.C.,25
7914,18360,B.S.,6453
7915,18360,H.C.,5488
7916,18371,H.C.,63
7917,18372,B.S.,212
7918,18405,B.S.,42
7919,18407,B.S.,1359
7920,18407,H.C.,2505
7921,18411,B.S.,9144
7922,18411,H.C.,65903
7923,18414,B.S.,9772
7924,18414,H.C.,8405
7925,18415,B.S.,1014
7926,18419,B.S.,1757
7927,18420,H.C.,250
7928,18421,H.C.,250
7929,18424,B.S.,3415
7930,18424,H.C.,450
7931,18425,B.S.,500
7932,18426,H.C.,114
7933,18428,B.S.,353
7934,18428,H.C.,11324
7935,18431,B.S.,565
7936,18431,H.C.,11000
7937,18433,B.S.,100
7938,18433,H.C.,4700
7939,18434,B.S.,304
7940,18434,H.C.,2720
7941,18435,B.S.,400
7942,18436,B.S.,6181
7943,18436,H.C.,15405
7944,18438,H.C.,27
7945,18443,B.S.,100
7946,18444,B.S.,6193
7947,18444,H.C.,5250
7948,18445,B.S.,1512
7949,18446,B.S.,148
7950,18446,H.C.,2800
7951,18447,B.S.,5980
7952,18447,H.C.,3936
7953,18452,H.C.,1000
7954,18453,B.S.,341
7955,18457,H.C.,15
7956,18458,B.S.,1890
7957,18458,H.C.,300
7958,18460,B.S.,66
7959,18462,H.C.,250
7960,18464,B.S.,500
7961,18465,H.C.,10
7962,18466,B.S.,962
7963,18466,H.C.,2141
7964,18469,H.C.,19
7965,18470,H.C.,2700
7966,18471,B.S.,1054
7967,18471,H.C.,25625
7968,18472,B.S.,200
7969,18472,H.C.,100
7970,18501,H.C.,2700
7971,18503,H.C.,2758
7972,18504,B.S.,2904
7973,18504,H.C.,12622
7974,18505,B.S.,6458
7975,18505,H.C.,32180
7976,18507,H.C.,13365
7977,18508,H.C.,3500
7978,18509,B.S.,923
7979,18509,H.C.,77420
7980,18510,B.S.,1925
7981,18510,H.C.,16796
7982,18512,B.S.,721
7983,18512,H.C.,12652
7984,18517,H.C.,2745
7985,18518,B.S.,2102
7986,18518,H.C.,610
7987,18519,B.S.,508
7988,18602,B.S.,1000
7989,18603,B.S.,4242
7990,18603,H.C.,2700
7991,18610,B.S.,1447
7992,18610,H.C.,154
7993,18612,B.S.,3067
7994,18612,H.C.,4500
7995,18615,B.S.,250
7996,18617,B.S.,481
7997,18618,B.S.,1176
7998,18618,H.C.,1000
7999,18621,B.S.,1100
8000,18623,B.S.,30
8001,18624,B.S.,450
8002,18625,H.C.,1000
8003,18629,B.S.,519
8004,18630,B.S.,687
8005,18634,B.S.,396
8006,18634,H.C.,100
8007,18635,H.C.,210
8008,18640,B.S.,1335
8009,18640,H.C.,14247
8010,18641,B.S.,105
8011,18641,H.C.,146
8012,18642,B.S.,27
8013,18643,B.S.,444
8014,18643,H.C.,1000
8015,18644,B.S.,907
8016,18644,H.C.,7950
8017,18651,B.S.,113
8018,18651,H.C.,5642
8019,18655,B.S.,552
8020,18657,B.S.,2961
8021,18657,H.C.,1500
8022,18660,B.S.,865
8023,18661,B.S.,65
8024,18701,B.S.,2530
8025,18701,H.C.,3751
8026,18702,B.S.,7625
8027,18702,H.C.,19694
8028,18703,H.C.,1000
8029,18704,B.S.,4411
8030,18704,H.C.,21166
8031,18705,B.S.,547
8032,18705,H.C.,1500
8033,18706,B.S.,831
8034,18707,B.S.,663
8035,18707,H.C.,9320
8036,18708,B.S.,1444
8037,18708,H.C.,22200
8038,18709,B.S.,101
8039,18801,B.S.,720
8040,18801,H.C.,250
8041,18810,B.S.,4502
8042,18812,B.S.,237
8043,18812,H.C.,300
8044,18818,B.S.,248
8045,18822,B.S.,2594
8046,18824,B.S.,246
8047,18824,H.C.,100
8048,18826,B.S.,250
8049,18826,H.C.,100
8050,18830,B.S.,750
8051,18830,H.C.,100
8052,18833,B.S.,251
8053,18834,B.S.,258
8054,18834,H.C.,713
8055,18837,B.S.,656
8056,18840,B.S.,2127
8057,18840,H.C.,325
8058,18842,B.S.,64
8059,18844,B.S.,599
8060,18847,B.S.,599
8061,18847,H.C.,275
8062,18848,B.S.,505
8063,18848,H.C.,191
8064,18850,H.C.,200
8065,18851,H.C.,35
8066,18853,B.S.,60
8067,18853,H.C.,229
8068,18854,B.S.,200
8069,18901,B.S.,21631
8070,18901,H.C.,14086
8071,18902,B.S.,10069
8072,18902,H.C.,1711
8073,18910,B.S.,80
8074,18911,B.S.,150
8075,18912,H.C.,339
8076,18914,B.S.,12172
8077,18914,H.C.,5313
8078,18920,B.S.,3354
8079,18923,B.S.,60
8080,18925,B.S.,1721
8081,18925,H.C.,1672
8082,18927,H.C.,5400
8083,18929,B.S.,992
8084,18929,H.C.,100
8085,18930,B.S.,1841
8086,18931,B.S.,1600
8087,18933,B.S.,1500
8088,18934,B.S.,420
8089,18934,H.C.,378
8090,18936,H.C.,100
8091,18938,B.S.,19606
8092,18938,H.C.,28601
8093,18940,B.S.,30595
8094,18940,H.C.,68864
8095,18942,B.S.,16414
8096,18942,H.C.,1600
8097,18944,B.S.,5090
8098,18944,H.C.,641
8099,18947,B.S.,5263
8100,18947,H.C.,2740
8101,18949,H.C.,199
8102,18950,B.S.,654
8103,18950,H.C.,850
8104,18951,B.S.,6691
8105,18951,H.C.,460
8106,18953,B.S.,2566
8107,18954,B.S.,1115
8108,18954,H.C.,8063
8109,18960,B.S.,2004
8110,18960,H.C.,60
8111,18963,B.S.,976
8112,18963,H.C.,118
8113,18964,B.S.,8986
8114,18964,H.C.,200
8115,18966,B.S.,17134
8116,18966,H.C.,14807
8117,18969,B.S.,5570
8118,18969,H.C.,972
8119,18972,B.S.,2739
8120,18972,H.C.,729
8121,18974,B.S.,7268
8122,18974,H.C.,2628
8123,18976,B.S.,777
8124,18976,H.C.,875
8125,18977,B.S.,645
8126,18977,H.C.,1064
8127,18980,B.S.,35
8128,19000,B.S.,35
8129,19001,B.S.,8649
8130,19001,H.C.,2461
8131,19002,B.S.,20771
8132,19002,H.C.,37795
8133,19003,B.S.,22548
8134,19003,H.C.,13306
8135,19004,B.S.,21523
8136,19004,H.C.,40067
8137,19006,B.S.,6339
8138,19006,H.C.,35129
8139,19007,B.S.,5440
8140,19007,H.C.,9779
8141,19008,B.S.,8366
8142,19008,H.C.,1215
8143,19009,B.S.,2406
8144,19009,H.C.,250
8145,19010,B.S.,22487
8146,19010,H.C.,77170
8147,19012,B.S.,2209
8148,19012,H.C.,5861
8149,19013,B.S.,2778
8150,19014,B.S.,2961
8151,19014,H.C.,2999
8152,19015,B.S.,1202
8153,19018,B.S.,1656
8154,19018,H.C.,4189
8155,19020,B.S.,2690
8156,19020,H.C.,13280
8157,19021,B.S.,1056
8158,19021,H.C.,196
8159,19022,H.C.,250
8160,19023,B.S.,649
8161,19023,H.C.,51
8162,19025,B.S.,4662
8163,19025,H.C.,2330
8164,19026,B.S.,8738
8165,19026,H.C.,6633
8166,19027,B.S.,11094
8167,19027,H.C.,13049
8168,19028,B.S.,654
8169,19029,B.S.,37
8170,19030,B.S.,2445
8171,19030,H.C.,3555
8172,19031,B.S.,7290
8173,19031,H.C.,11022
8174,19032,B.S.,576
8175,19033,B.S.,1758
8176,19034,B.S.,3134
8177,19034,H.C.,3230
8178,19035,B.S.,2169
8179,19035,H.C.,50555
8180,19036,B.S.,427
8181,19037,B.S.,2279
8182,19038,B.S.,28689
8183,19038,H.C.,21223
8184,19040,B.S.,11610
8185,19040,H.C.,1779
8186,19041,B.S.,16173
8187,19041,H.C.,69008
8188,19043,B.S.,578
8189,19044,B.S.,1479
8190,19044,H.C.,2754
8191,19046,B.S.,16247
8192,19046,H.C.,26175
8193,19047,B.S.,12082
8194,19047,H.C.,11339
8195,19050,B.S.,8739
8196,19050,H.C.,4790
8197,19053,B.S.,2132
8198,19053,H.C.,3427
8199,19054,B.S.,631
8200,19055,B.S.,1490
8201,19055,H.C.,965
8202,19056,B.S.,13556
8203,19056,H.C.,310
8204,19057,B.S.,3069
8205,19060,B.S.,11451
8206,19060,H.C.,12460
8207,19061,B.S.,723
8208,19061,H.C.,2810
8209,19063,B.S.,43547
8210,19063,H.C.,26078
8211,19064,B.S.,2036
8212,19064,H.C.,3005
8213,19066,B.S.,18239
8214,19066,H.C.,54718
8215,19067,B.S.,28837
8216,19067,H.C.,33765
8217,19070,B.S.,3101
8218,19070,H.C.,1140
8219,19072,B.S.,23657
8220,19072,H.C.,26841
8221,19073,B.S.,9583
8222,19073,H.C.,33893
8223,19074,B.S.,2230
8224,19075,B.S.,7178
8225,19075,H.C.,1148
8226,19076,B.S.,1648
8227,19078,B.S.,3340
8228,19078,H.C.,1333
8229,19081,B.S.,8819
8230,19081,H.C.,15030
8231,19082,B.S.,6123
8232,19082,H.C.,1379
8233,19083,B.S.,14817
8234,19083,H.C.,8465
8235,19085,B.S.,10451
8236,19085,H.C.,61202
8237,19086,B.S.,11179
8238,19086,H.C.,6512
8239,19087,B.S.,32664
8240,19087,H.C.,73430
8241,19090,B.S.,6266
8242,19090,H.C.,1464
8243,19095,B.S.,9894
8244,19095,H.C.,8946
8245,19096,B.S.,32362
8246,19096,H.C.,89382
8247,19101,H.C.,250
8248,19102,B.S.,15376
8249,19102,H.C.,52269
8250,19103,B.S.,67611
8251,19103,H.C.,331212
8252,19104,B.S.,30186
8253,19104,H.C.,16407
8254,19106,B.S.,41143
8255,19106,H.C.,77682
8256,19107,B.S.,16749
8257,19107,H.C.,32651
8258,19110,H.C.,1058
8259,19111,B.S.,13537
8260,19111,H.C.,6397
8261,19112,H.C.,13500
8262,19114,B.S.,5506
8263,19114,H.C.,412
8264,19115,B.S.,6607
8265,19115,H.C.,1511
8266,19116,B.S.,7021
8267,19116,H.C.,1545
8268,19118,B.S.,41024
8269,19118,H.C.,72705
8270,19119,B.S.,76125
8271,19119,H.C.,49762
8272,19120,B.S.,3394
8273,19120,H.C.,335
8274,19121,B.S.,1837
8275,19121,H.C.,2700
8276,19122,B.S.,19941
8277,19122,H.C.,967
8278,19123,B.S.,10283
8279,19123,H.C.,8873
8280,19124,B.S.,2142
8281,19124,H.C.,54
8282,19125,B.S.,35532
8283,19125,H.C.,6300
8284,19126,B.S.,1362
8285,19126,H.C.,820
8286,19127,B.S.,4303
8287,19127,H.C.,4292
8288,19128,B.S.,21829
8289,19128,H.C.,12203
8290,19129,B.S.,16800
8291,19129,H.C.,13723
8292,19130,B.S.,48821
8293,19130,H.C.,47158
8294,19131,B.S.,4748
8295,19131,H.C.,1412
8296,19132,B.S.,350
8297,19133,H.C.,200
8298,19134,B.S.,6013
8299,19135,B.S.,204
8300,19135,H.C.,35
8301,19136,B.S.,15602
8302,19137,B.S.,2883
8303,19137,H.C.,95
8304,19138,B.S.,963
8305,19138,H.C.,630
8306,19139,B.S.,5288
8307,19139,H.C.,1276
8308,19140,B.S.,1372
8309,19141,B.S.,6911
8310,19141,H.C.,850
8311,19142,B.S.,56
8312,19142,H.C.,350
8313,19143,B.S.,47618
8314,19143,H.C.,8680
8315,19144,B.S.,14301
8316,19144,H.C.,15575
8317,19145,B.S.,7496
8318,19145,H.C.,9560
8319,19146,B.S.,40519
8320,19146,H.C.,49451
8321,19147,B.S.,74187
8322,19147,H.C.,73365
8323,19148,B.S.,31014
8324,19148,H.C.,8768
8325,19149,B.S.,7910
8326,19149,H.C.,220
8327,19150,B.S.,50
8328,19150,H.C.,1427
8329,19151,B.S.,1159
8330,19151,H.C.,600
8331,19152,B.S.,2523
8332,19152,H.C.,2178
8333,19153,H.C.,500
8334,19154,B.S.,100498
8335,19154,H.C.,313
8336,19301,B.S.,4191
8337,19301,H.C.,11249
8338,19311,B.S.,3034
8339,19311,H.C.,894
8340,19312,B.S.,9908
8341,19312,H.C.,24505
8342,19317,B.S.,8893
8343,19317,H.C.,8166
8344,19319,B.S.,406
8345,19320,B.S.,10847
8346,19320,H.C.,3981
8347,19327,B.S.,248
8348,19330,B.S.,2673
8349,19330,H.C.,250
8350,19333,B.S.,1025
8351,19333,H.C.,9458
8352,19335,B.S.,23468
8353,19335,H.C.,12977
8354,19341,B.S.,14003
8355,19341,H.C.,1538
8356,19342,B.S.,3971
8357,19342,H.C.,4236
8358,19343,B.S.,6341
8359,19343,H.C.,3772
8360,19344,B.S.,595
8361,19344,H.C.,200
8362,19347,B.S.,100
8363,19348,B.S.,17209
8364,19348,H.C.,7941
8365,19349,B.S.,7
8366,19350,B.S.,7697
8367,19350,H.C.,1085
8368,19352,B.S.,4429
8369,19352,H.C.,78
8370,19355,B.S.,9877
8371,19355,H.C.,66100
8372,19357,B.S.,100
8373,19360,B.S.,300
8374,19362,B.S.,1628
8375,19363,B.S.,3744
8376,19363,H.C.,721
8377,19365,B.S.,222
8378,19365,H.C.,597
8379,19366,H.C.,200
8380,19372,B.S.,4593
8381,19373,B.S.,66
8382,19373,H.C.,1500
8383,19374,B.S.,35
8384,19375,B.S.,4365
8385,19375,H.C.,500
8386,19380,B.S.,13156
8387,19380,H.C.,7622
8388,19382,B.S.,25648
8389,19382,H.C.,20129
8390,19390,B.S.,2359
8391,19390,H.C.,1491
8392,19395,B.S.,2000
8393,19395,H.C.,150
8394,19399,B.S.,600
8395,19401,B.S.,8262
8396,19401,H.C.,6823
8397,19403,B.S.,15922
8398,19403,H.C.,7743
8399,19405,B.S.,904
8400,19406,B.S.,8342
8401,19406,H.C.,9799
8402,19417,B.S.,162
8403,19421,B.S.,430
8404,19421,H.C.,150
8405,19422,B.S.,15658
8406,19422,H.C.,25822
8407,19425,B.S.,11676
8408,19425,H.C.,8917
8409,19426,B.S.,10223
8410,19426,H.C.,7032
8411,19428,B.S.,8933
8412,19428,H.C.,10218
8413,19436,B.S.,3365
8414,19436,H.C.,400
8415,19437,H.C.,1350
8416,19438,B.S.,1466
8417,19438,H.C.,4170
8418,19440,B.S.,10432
8419,19440,H.C.,2775
8420,19442,B.S.,3000
8421,19444,B.S.,3965
8422,19444,H.C.,29748
8423,19446,B.S.,19120
8424,19446,H.C.,12356
8425,19453,B.S.,102
8426,19454,B.S.,10679
8427,19454,H.C.,12674
8428,19460,B.S.,21459
8429,19460,H.C.,8060
8430,19462,B.S.,13671
8431,19462,H.C.,15731
8432,19464,B.S.,12269
8433,19464,H.C.,1032
8434,19465,B.S.,3817
8435,19465,H.C.,400
8436,19468,B.S.,10223
8437,19468,H.C.,814
8438,19470,B.S.,27
8439,19473,B.S.,4430
8440,19473,H.C.,828
8441,19474,H.C.,50
8442,19475,B.S.,5007
8443,19475,H.C.,125
8444,19492,B.S.,1386
8445,19503,B.S.,50
8446,19504,B.S.,166
8447,19504,H.C.,200
8448,19505,H.C.,15
8449,19506,B.S.,200
8450,19508,B.S.,2976
8451,19510,B.S.,1918
8452,19510,H.C.,275
8453,19512,B.S.,4370
8454,19512,H.C.,680
8455,19518,B.S.,3743
8456,19518,H.C.,379
8457,19520,B.S.,5944
8458,19520,H.C.,252
8459,19522,B.S.,14922
8460,19522,H.C.,300
8461,19525,B.S.,950
8462,19525,H.C.,593
8463,19526,B.S.,965
8464,19529,H.C.,40
8465,19530,B.S.,4280
8466,19530,H.C.,475
8467,19533,B.S.,1242
8468,19534,B.S.,364
8469,19536,B.S.,10
8470,19539,B.S.,1000
8471,19539,H.C.,400
8472,19540,B.S.,1260
8473,19541,B.S.,745
